time_absolute,gpu_util_perc,gpu_mem_used_mb,power_draw_w
1785069997.5208607,100.0,6555.0,187.53
1785069998.5573483,100.0,6721.0,353.06
1785069999.5969992,100.0,6721.0,348.41
1785070000.6365187,76.0,3823.0,258.5
1785070001.6722236,100.0,12843.0,247.0
1785070002.7121894,43.0,3095.0,99.48
1785070003.7491136,100.0,6721.0,278.93
1785070004.8088093,100.0,6721.0,348.46
1785070005.8449469,100.0,6721.0,349.15
1785070006.8844304,100.0,12843.0,215.19
1785070007.924244,47.0,815.0,199.29
1785070009.01393,100.0,6555.0,142.15
1785070010.0573733,100.0,6721.0,350.21
1785070011.097381,100.0,6721.0,349.24
1785070012.137728,70.0,6721.0,298.18
1785070013.1817765,100.0,12843.0,220.96
1785070014.2203174,44.0,1487.0,130.16
1785070015.2574296,100.0,9481.0,237.82
1785070016.2983649,100.0,9481.0,347.84
1785070017.3373456,100.0,10127.0,339.14
1785070018.3775644,100.0,10127.0,349.36
1785070019.4179263,100.0,10127.0,345.99
1785070020.4579234,100.0,10127.0,347.53
1785070021.497354,100.0,10127.0,347.39
1785070022.5335758,100.0,10127.0,345.49
1785070023.5741875,100.0,10127.0,340.41
1785070024.6145074,100.0,10127.0,348.74
1785070025.6916182,100.0,10127.0,346.62
1785070026.7293258,100.0,10127.0,344.83
1785070027.7684455,69.0,8199.0,273.54
1785070028.8044484,100.0,40759.0,251.78
1785070030.0347857,100.0,33545.0,253.62
1785070031.0774753,100.0,33545.0,262.6
1785070032.112365,40.0,475.0,226.67
1785070033.1523056,74.0,783.0,104.92
1785070034.2082384,100.0,7521.0,236.23
1785070035.2454677,100.0,7847.0,352.83
1785070036.2857475,100.0,7847.0,345.38
1785070037.3251972,100.0,7847.0,353.6
1785070038.3657336,100.0,7847.0,347.04
1785070039.40495,100.0,7847.0,348.77
1785070040.4397948,78.0,24875.0,221.75
1785070041.4796836,100.0,24875.0,283.82
1785070042.5157306,100.0,531.0,218.85
1785070043.552222,43.0,3535.0,101.93
1785070044.589366,100.0,6161.0,280.16
1785070045.6289496,68.0,6161.0,278.36
1785070046.6686175,43.0,1865.0,159.62
1785070047.7054505,100.0,6949.0,162.83
1785070048.7454188,100.0,7847.0,347.11
1785070049.7853584,100.0,7847.0,347.79
1785070050.8249958,100.0,7847.0,352.95
1785070051.8840075,100.0,7847.0,346.57
1785070052.9216647,100.0,7847.0,351.15
1785070053.9614403,68.0,7847.0,298.54
1785070055.0025735,100.0,24877.0,242.14
1785070056.0588806,100.0,24877.0,276.53
1785070057.096107,72.0,443.0,102.75
1785070058.1332114,100.0,6159.0,212.49
1785070059.1730585,100.0,6159.0,346.38
1785070060.2118294,40.0,397.0,183.68
1785070061.2505338,43.0,4903.0,96.87
1785070062.3085132,100.0,6721.0,332.45
1785070063.345078,100.0,6721.0,347.59
1785070064.3861213,100.0,6721.0,346.14
1785070065.4279764,100.0,12843.0,200.98
1785070066.482812,39.0,1835.0,173.45
1785070067.5209765,100.0,6159.0,203.04
1785070068.5613456,100.0,6159.0,351.25
1785070069.6226008,100.0,7851.0,208.38
1785070070.66032,41.0,3935.0,110.98
1785070071.6972325,100.0,7521.0,305.17
1785070072.7338574,100.0,7847.0,346.26
1785070073.773387,100.0,7847.0,345.1
1785070074.809542,100.0,7847.0,350.39
1785070075.8495731,100.0,7847.0,343.75
1785070076.889339,100.0,7847.0,349.95
1785070077.9315705,100.0,24877.0,214.63
1785070078.973526,100.0,24877.0,291.57
1785070080.0117102,100.0,617.0,178.55
1785070081.076258,55.0,6267.0,118.53
1785070082.113424,100.0,6721.0,351.6
1785070083.1533852,100.0,6721.0,349.85
1785070084.1972988,72.0,6721.0,306.93
1785070085.2412012,100.0,12843.0,207.04
1785070086.2797675,28.0,1057.0,144.03
1785070087.3211653,100.0,8351.0,223.77
1785070088.3572698,100.0,9481.0,348.05
1785070089.4177368,100.0,10127.0,341.51
1785070090.4577267,100.0,10127.0,341.7
1785070091.516656,100.0,10127.0,348.36
1785070092.572429,100.0,10127.0,342.16
1785070093.6095881,100.0,10127.0,354.32
1785070094.6645987,100.0,10127.0,344.58
1785070095.7024422,100.0,10127.0,343.22
1785070096.740618,100.0,10127.0,343.6
1785070097.796044,100.0,10127.0,349.39
1785070098.8338366,100.0,10127.0,343.58
1785070099.8766997,68.0,10127.0,276.47
1785070100.9124212,100.0,40759.0,233.36
1785070101.9489684,100.0,40759.0,285.15
1785070102.989994,100.0,33545.0,243.72
1785070104.0302875,100.0,33545.0,260.21
1785070105.0723445,90.0,1967.0,104.46
1785070106.108832,100.0,6159.0,161.74
1785070107.164637,100.0,6159.0,346.69
1785070108.2028797,100.0,7851.0,213.73
1785070109.2403617,42.0,3341.0,129.87
1785070110.277039,100.0,6721.0,284.83
1785070111.3175128,100.0,6721.0,348.87
1785070112.37638,100.0,6721.0,349.64
1785070113.4136596,100.0,12843.0,200.67
1785070114.4520748,88.0,1171.0,209.02
1785070115.493557,100.0,8031.0,145.69
